ensemblID,OGS,chromosome,TSSLocation,strand,sumMethylationFractionBySite,meanMethylationFractionBySite,meanMethylationFractionByRegion,sumOfScaledMethylatedReadsByRegion
ENSG00000186092,OR4F5,chr1,69090,+,0,NA,NA,0
ENSG00000278566,OR4F29,chr1,367658,+,0,NA,NA,0
ENSG00000273547,OR4F16,chr1,622034,-,0,NA,NA,0
ENSG00000187634,SAMD11,chr1,861120,+,147,1.105263158,0.015305378,222.6712895
ENSG00000188976,NOC2L,chr1,894679,-,1139,9.336065574,0.055852652,408.0041253
ENSG00000187961,KLHL17,chr1,895966,+,1139,9.03968254,0.055781795,407.0285095
ENSG00000187583,PLEKHN1,chr1,901876,+,567,9.45,0.077446524,310.2608453
ENSG00000187642,C1orf170,chr1,917473,-,1169,43.2962963,0.534199219,360.4968704
ENSG00000188290,HES4,chr1,935552,-,1214,4.955102041,0.045459903,594.7558223
ENSG00000187608,ISG15,chr1,948846,+,922,57.625,0.839538462,318.9212925
ENSG00000188157,AGRN,chr1,955502,+,254,2.330275229,0.006220388,38.09650435
ENSG00000237330,RNF223,chr1,1009687,-,2523,45.05357143,0.546503067,235.8720653
ENSG00000131591,C1orf159,chr1,1027554,-,2333,93.32,0.848409586,455.0722449
ENSG00000162571,TTLL10,chr1,1109285,+,1203,27.34090909,0.12621078,211.8287759
ENSG00000186891,TNFRSF18,chr1,1142089,-,321,7.465116279,0.065292135,149.8193189
ENSG00000186827,TNFRSF4,chr1,1149548,-,587,16.30555556,0.14099839,99.630619
ENSG00000078808,SDF4,chr1,1167447,-,5238,36.375,0.406017818,4191.149276
ENSG00000176022,B3GALT6,chr1,1167628,+,5038,35.47887324,0.405872803,4040.339834
ENSG00000184163,FAM132A,chr1,1182102,-,1694,23.52777778,0.150112635,359.492209
ENSG00000160087,UBE2J2,chr1,1209234,-,423,3.810810811,0.01237534,60.06551395
ENSG00000162572,SCNN1D,chr1,1215815,+,1652,75.09090909,0.707416107,513.2133478
ENSG00000131584,ACAP3,chr1,1243269,-,1370,7.172774869,0.041499913,627.8826108
ENSG00000169972,PUSL1,chr1,1243993,+,1366,7.189473684,0.04151173,556.6725112
ENSG00000127054,CPSF3L,chr1,1260067,-,762,11.37313433,0.013487179,54.81547125
ENSG00000224051,GLTPD1,chr1,1260142,+,762,11.37313433,0.013487179,55.11073034
