"Gene","name","chrom","locus","strand","hm.scores"
"ENSG00000186092","OR4F5","chr1",69090,"+",356.24
"ENSG00000278566","OR4F29","chr1",367658,"+",427.2
"ENSG00000273547","OR4F16","chr1",622034,"-",409.36
"ENSG00000187634","SAMD11","chr1",861120,"+",515.16
"ENSG00000188976","NOC2L","chr1",894679,"-",5202.2
"ENSG00000187961","KLHL17","chr1",895966,"+",4389.64
"ENSG00000187583","PLEKHN1","chr1",901876,"+",1364.56
"ENSG00000187642","C1orf170","chr1",917473,"-",235.04
"ENSG00000188290","HES4","chr1",935552,"-",2285.84
"ENSG00000187608","ISG15","chr1",948846,"+",7732.32
"ENSG00000188157","AGRN","chr1",955502,"+",2575.24
"ENSG00000237330","RNF223","chr1",1009687,"-",134.4
"ENSG00000131591","C1orf159","chr1",1027554,"-",274.36
"ENSG00000162571","TTLL10","chr1",1109285,"+",508.24
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",1396.64
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",1083.12
"ENSG00000078808","SDF4","chr1",1167447,"-",7116.24
"ENSG00000176022","B3GALT6","chr1",1167628,"+",6741.32
"ENSG00000184163","FAM132A","chr1",1182102,"-",263.12
"ENSG00000160087","UBE2J2","chr1",1209234,"-",6247.48
"ENSG00000162572","SCNN1D","chr1",1215815,"+",215.84
"ENSG00000131584","ACAP3","chr1",1243269,"-",6978.92
"ENSG00000169972","PUSL1","chr1",1243993,"+",5801.8
"ENSG00000127054","CPSF3L","chr1",1260067,"-",5014.48
"ENSG00000224051","GLTPD1","chr1",1260142,"+",5066.52
"ENSG00000169962","TAS1R3","chr1",1266725,"+",388.8
"ENSG00000107404","DVL1","chr1",1284492,"-",2572.04
"ENSG00000162576","MXRA8","chr1",1297157,"-",209.92
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",5575.04
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",11043.68
"ENSG00000242485","MRPL20","chr1",1342693,"-",7178.56
"ENSG00000235098","ANKRD65","chr1",1356824,"-",684.88
"ENSG00000205116","TMEM88B","chr1",1361507,"+",331
"ENSG00000215915","ATAD3C","chr1",1385068,"+",201.56
"ENSG00000160072","ATAD3B","chr1",1407163,"+",6830.96
"ENSG00000197785","ATAD3A","chr1",1447522,"+",7217
"ENSG00000205090","TMEM240","chr1",1475740,"-",616.92
"ENSG00000160075","SSU72","chr1",1510262,"-",7726.44
"ENSG00000228594","C1orf233","chr1",1535476,"-",902.8
"ENSG00000197530","MIB2","chr1",1551689,"+",4761.16
"ENSG00000189409","MMP23B","chr1",1567559,"+",636.52
"ENSG00000248333","CDK11B","chr1",1655775,"-",7607.08000000001
"ENSG00000008128","CDK11A","chr1",1655791,"-",7607.08000000001
"ENSG00000215790","SLC35E2","chr1",1677438,"-",6574.52
"ENSG00000008130","NADK","chr1",1711508,"-",4704.32
"ENSG00000078369","GNB1","chr1",1822526,"-",5451.6
"ENSG00000169885","CALML6","chr1",1846265,"+",147.2
"ENSG00000178821","TMEM52","chr1",1850740,"-",1558.32
"ENSG00000187730","GABRD","chr1",1950767,"+",296.16
"ENSG00000067606","PRKCZ","chr1",1981908,"+",1905.08
"ENSG00000162585","C1orf86","chr1",2126214,"-",2018.12
"ENSG00000157933","SKI","chr1",2160133,"+",4829.84
"ENSG00000116151","MORN1","chr1",2322993,"-",6758
"ENSG00000157916","RER1","chr1",2323213,"+",7039.96
"ENSG00000157911","PEX10","chr1",2344010,"-",5030.44
"ENSG00000149527","PLCH2","chr1",2407753,"+",104
"ENSG00000157881","PANK4","chr1",2458035,"-",5034.28
"ENSG00000197921","HES5","chr1",2461684,"-",1059.72
"ENSG00000157873","TNFRSF14","chr1",2487804,"+",6465.64
"ENSG00000157870","FAM213B","chr1",2517898,"+",4252.16
"ENSG00000215912","TTC34","chr1",2706230,"-",273.2
"ENSG00000169717","ACTRT2","chr1",2938045,"+",147.32
"ENSG00000130762","ARHGEF16","chr1",3371146,"+",332.8
"ENSG00000162591","MEGF6","chr1",3528059,"-",577.6
"ENSG00000158109","TPRG1L","chr1",3541555,"+",3850.84
"ENSG00000116213","WRAP73","chr1",3566671,"-",5194.24
"ENSG00000078900","TP73","chr1",3569128,"+",6087.84
"ENSG00000162592","CCDC27","chr1",3668964,"+",198.4
"ENSG00000235169","SMIM1","chr1",3689333,"+",1803.24
"ENSG00000130764","LRRC47","chr1",3713068,"-",6210.52
"ENSG00000116198","CEP104","chr1",3773797,"-",5715.72
"ENSG00000169598","DFFB","chr1",3773844,"+",5705.36
"ENSG00000196581","AJAP1","chr1",4715104,"+",312.48
"ENSG00000069424","KCNAB2","chr1",6052357,"+",7098.44
"ENSG00000116254","CHD5","chr1",6240194,"-",543.72
"ENSG00000116251","RPL22","chr1",6259679,"-",10072.72
"ENSG00000158286","RNF207","chr1",6266188,"+",4470.8
"ENSG00000116237","ICMT","chr1",6296044,"-",5082.4
"ENSG00000173673","HES3","chr1",6304251,"+",834.04
"ENSG00000158292","GPR153","chr1",6321035,"-",1552.52
"ENSG00000097021","ACOT7","chr1",6453826,"-",5214.28
"ENSG00000069812","HES2","chr1",6479979,"-",514.24
"ENSG00000187017","ESPN","chr1",6484847,"+",907.72
"ENSG00000215788","TNFRSF25","chr1",6526255,"-",246.4
"ENSG00000171680","PLEKHG5","chr1",6580121,"-",206
"ENSG00000162408","NOL9","chr1",6614658,"-",5078.84
"ENSG00000173662","TAS1R1","chr1",6615337,"+",4050.12
"ENSG00000204859","ZBTB48","chr1",6640055,"+",5174.96
"ENSG00000162413","KLHL21","chr1",6662929,"-",7967.16
"ENSG00000116273","PHF13","chr1",6673755,"+",3697.12
"ENSG00000041988","THAP3","chr1",6684924,"+",3734.08
"ENSG00000007923","DNAJC11","chr1",6761966,"-",5618.36
"ENSG00000171735","CAMTA1","chr1",6845383,"+",7316.52
"ENSG00000049245","VAMP3","chr1",7831328,"+",5464.44
"ENSG00000049246","PER3","chr1",7844379,"+",1131.08
"ENSG00000049247","UTS2","chr1",7973294,"-",489.4
"ENSG00000049249","TNFRSF9","chr1",8003225,"-",1440.52
"ENSG00000116288","PARK7","chr1",8021713,"+",7659.2
"ENSG00000116285","ERRFI1","chr1",8086393,"-",2092.16
"ENSG00000162426","SLC45A1","chr1",8384389,"+",218.52
"ENSG00000142599","RERE","chr1",8877699,"-",8082.64
"ENSG00000074800","ENO1","chr1",8939151,"-",8774.72
"ENSG00000131686","CA6","chr1",9005892,"+",383
"ENSG00000197241","SLC2A7","chr1",9086404,"-",253
"ENSG00000142583","SLC2A5","chr1",9129887,"-",6095.64
"ENSG00000180758","GPR157","chr1",9189229,"-",4561
"ENSG00000049239","H6PD","chr1",9294862,"+",3412.44
"ENSG00000171621","SPSB1","chr1",9352940,"+",2455.96
"ENSG00000171612","SLC25A33","chr1",9599527,"+",4054.88
"ENSG00000188807","TMEM201","chr1",9648931,"+",5288.52
"ENSG00000171608","PIK3CD","chr1",9711789,"+",6919.96
"ENSG00000179840","C1orf200","chr1",9714644,"-",8398.44
"ENSG00000171603","CLSTN1","chr1",9884550,"-",6377.84
"ENSG00000178585","CTNNBIP1","chr1",9970316,"-",5489.36
"ENSG00000162441","LZIC","chr1",10003427,"-",7492.08
"ENSG00000173614","NMNAT1","chr1",10003485,"+",7470.56
"ENSG00000054523","KIF1B","chr1",10270763,"+",4905.52
"ENSG00000142657","PGD","chr1",10459084,"+",6079.2
"ENSG00000175279","APITD1","chr1",10490158,"+",5237.48
"ENSG00000251503","APITD1-CORT","chr1",10490803,"+",5301.68
"ENSG00000241563","CORT","chr1",10509775,"+",189.72
"ENSG00000160049","DFFA","chr1",10532613,"-",6283.04
