"Gene","name","chrom","locus","strand","hm.scores"
"ENSG00000186092","OR4F5","chr1",69090,"+",6392.19999999999
"ENSG00000278566","OR4F29","chr1",367658,"+",1773.24
"ENSG00000273547","OR4F16","chr1",622034,"-",1624.76
"ENSG00000187634","SAMD11","chr1",861120,"+",1426.08
"ENSG00000188976","NOC2L","chr1",894679,"-",2198.32
"ENSG00000187961","KLHL17","chr1",895966,"+",2454.44
"ENSG00000187583","PLEKHN1","chr1",901876,"+",2849.8
"ENSG00000187642","C1orf170","chr1",917473,"-",752.04
"ENSG00000188290","HES4","chr1",935552,"-",4335.6
"ENSG00000187608","ISG15","chr1",948846,"+",3991.88
"ENSG00000188157","AGRN","chr1",955502,"+",1588.36
"ENSG00000237330","RNF223","chr1",1009687,"-",511.52
"ENSG00000131591","C1orf159","chr1",1027554,"-",191.04
"ENSG00000162571","TTLL10","chr1",1109285,"+",600.4
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",1007.04
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",439.2
"ENSG00000078808","SDF4","chr1",1167447,"-",2423.28
"ENSG00000176022","B3GALT6","chr1",1167628,"+",2420.08
"ENSG00000184163","FAM132A","chr1",1182102,"-",112.44
"ENSG00000160087","UBE2J2","chr1",1209234,"-",2556.48
"ENSG00000162572","SCNN1D","chr1",1215815,"+",382.08
"ENSG00000131584","ACAP3","chr1",1243269,"-",3321.96
"ENSG00000169972","PUSL1","chr1",1243993,"+",2930.4
"ENSG00000127054","CPSF3L","chr1",1260067,"-",1448
"ENSG00000224051","GLTPD1","chr1",1260142,"+",1459.08
"ENSG00000169962","TAS1R3","chr1",1266725,"+",108.2
"ENSG00000107404","DVL1","chr1",1284492,"-",1605.64
"ENSG00000162576","MXRA8","chr1",1297157,"-",912.36
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",2662.96
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",2399
"ENSG00000242485","MRPL20","chr1",1342693,"-",1851.04
"ENSG00000235098","ANKRD65","chr1",1356824,"-",1103.04
"ENSG00000205116","TMEM88B","chr1",1361507,"+",542.36
"ENSG00000215915","ATAD3C","chr1",1385068,"+",1234.96
"ENSG00000160072","ATAD3B","chr1",1407163,"+",2636.28
"ENSG00000197785","ATAD3A","chr1",1447522,"+",2970.12
"ENSG00000205090","TMEM240","chr1",1475740,"-",86
"ENSG00000160075","SSU72","chr1",1510262,"-",3703.56
"ENSG00000228594","C1orf233","chr1",1535476,"-",1305.84
"ENSG00000197530","MIB2","chr1",1551689,"+",3186
"ENSG00000189409","MMP23B","chr1",1567559,"+",327.44
"ENSG00000248333","CDK11B","chr1",1655775,"-",3646.84
"ENSG00000008128","CDK11A","chr1",1655791,"-",3646.84
"ENSG00000215790","SLC35E2","chr1",1677438,"-",5091.2
"ENSG00000008130","NADK","chr1",1711508,"-",4944.08
"ENSG00000078369","GNB1","chr1",1822526,"-",2848.28
"ENSG00000169885","CALML6","chr1",1846265,"+",465.68
"ENSG00000178821","TMEM52","chr1",1850740,"-",3639.88
"ENSG00000187730","GABRD","chr1",1950767,"+",189
"ENSG00000067606","PRKCZ","chr1",1981908,"+",523.52
"ENSG00000162585","C1orf86","chr1",2126214,"-",2863.8
"ENSG00000157933","SKI","chr1",2160133,"+",1737.72
"ENSG00000116151","MORN1","chr1",2322993,"-",2196.6
"ENSG00000157916","RER1","chr1",2323213,"+",2205.72
"ENSG00000157911","PEX10","chr1",2344010,"-",3301.04
"ENSG00000149527","PLCH2","chr1",2407753,"+",311.96
"ENSG00000157881","PANK4","chr1",2458035,"-",1494.2
"ENSG00000197921","HES5","chr1",2461684,"-",1099.8
"ENSG00000157873","TNFRSF14","chr1",2487804,"+",2334.68
"ENSG00000157870","FAM213B","chr1",2517898,"+",2247.08
"ENSG00000215912","TTC34","chr1",2706230,"-",136
"ENSG00000169717","ACTRT2","chr1",2938045,"+",162.92
"ENSG00000130762","ARHGEF16","chr1",3371146,"+",1038.48
"ENSG00000162591","MEGF6","chr1",3528059,"-",433.76
"ENSG00000158109","TPRG1L","chr1",3541555,"+",3392.76
"ENSG00000116213","WRAP73","chr1",3566671,"-",2100.72
"ENSG00000078900","TP73","chr1",3569128,"+",1965.8
"ENSG00000162592","CCDC27","chr1",3668964,"+",1357.8
"ENSG00000235169","SMIM1","chr1",3689333,"+",2385.2
"ENSG00000130764","LRRC47","chr1",3713068,"-",4441.12
"ENSG00000116198","CEP104","chr1",3773797,"-",4475.84
"ENSG00000169598","DFFB","chr1",3773844,"+",4499.52
"ENSG00000196581","AJAP1","chr1",4715104,"+",247.04
"ENSG00000069424","KCNAB2","chr1",6052357,"+",4122.36
"ENSG00000116254","CHD5","chr1",6240194,"-",204.84
"ENSG00000116251","RPL22","chr1",6259679,"-",4354.16
"ENSG00000158286","RNF207","chr1",6266188,"+",4620.68
"ENSG00000116237","ICMT","chr1",6296044,"-",3122.44
"ENSG00000173673","HES3","chr1",6304251,"+",578.76
"ENSG00000158292","GPR153","chr1",6321035,"-",1754.08
"ENSG00000097021","ACOT7","chr1",6453826,"-",4544.16
"ENSG00000069812","HES2","chr1",6479979,"-",1265.24
"ENSG00000187017","ESPN","chr1",6484847,"+",2357.24
"ENSG00000215788","TNFRSF25","chr1",6526255,"-",264.4
"ENSG00000171680","PLEKHG5","chr1",6580121,"-",519.64
"ENSG00000162408","NOL9","chr1",6614658,"-",4945.76
"ENSG00000173662","TAS1R1","chr1",6615337,"+",5538.16
"ENSG00000204859","ZBTB48","chr1",6640055,"+",3408.52
"ENSG00000162413","KLHL21","chr1",6662929,"-",8071.96
"ENSG00000116273","PHF13","chr1",6673755,"+",2746.4
"ENSG00000041988","THAP3","chr1",6684924,"+",1436.96
"ENSG00000007923","DNAJC11","chr1",6761966,"-",3479.08
"ENSG00000171735","CAMTA1","chr1",6845383,"+",3666.52
"ENSG00000049245","VAMP3","chr1",7831328,"+",6013.84
"ENSG00000049246","PER3","chr1",7844379,"+",2258.76
"ENSG00000049247","UTS2","chr1",7973294,"-",1269.04
"ENSG00000049249","TNFRSF9","chr1",8003225,"-",1726.28
"ENSG00000116288","PARK7","chr1",8021713,"+",4027.56
"ENSG00000116285","ERRFI1","chr1",8086393,"-",2855.64
"ENSG00000162426","SLC45A1","chr1",8384389,"+",421.12
"ENSG00000142599","RERE","chr1",8877699,"-",5814.12
"ENSG00000074800","ENO1","chr1",8939151,"-",3642.64
"ENSG00000131686","CA6","chr1",9005892,"+",721.92
"ENSG00000197241","SLC2A7","chr1",9086404,"-",343.12
"ENSG00000142583","SLC2A5","chr1",9129887,"-",1173.32
"ENSG00000180758","GPR157","chr1",9189229,"-",2465.72
"ENSG00000049239","H6PD","chr1",9294862,"+",3522.08
"ENSG00000171621","SPSB1","chr1",9352940,"+",1050.52
"ENSG00000171612","SLC25A33","chr1",9599527,"+",7034.16
"ENSG00000188807","TMEM201","chr1",9648931,"+",1624
"ENSG00000171608","PIK3CD","chr1",9711789,"+",1454.28
"ENSG00000179840","C1orf200","chr1",9714644,"-",947.08
"ENSG00000171603","CLSTN1","chr1",9884550,"-",2926
"ENSG00000178585","CTNNBIP1","chr1",9970316,"-",4934.56
"ENSG00000162441","LZIC","chr1",10003427,"-",5552.68
"ENSG00000173614","NMNAT1","chr1",10003485,"+",5573.92
"ENSG00000054523","KIF1B","chr1",10270763,"+",5923.64
"ENSG00000142657","PGD","chr1",10459084,"+",5339.4
"ENSG00000175279","APITD1","chr1",10490158,"+",6953.72
"ENSG00000251503","APITD1-CORT","chr1",10490803,"+",6697.84
"ENSG00000241563","CORT","chr1",10509775,"+",370.76
"ENSG00000160049","DFFA","chr1",10532613,"-",7075.16
"ENSG00000142655","PEX14","chr1",10535002,"+",4896.2
"ENSG00000130940","CASZ1","chr1",10856733,"-",221.12
"ENSG00000175262","C1orf127","chr1",11042094,"-",352
"ENSG00000120948","TARDBP","chr1",11072678,"+",5886.84
"ENSG00000009724","MASP2","chr1",11107296,"-",514.64
"ENSG00000116649","SRM","chr1",11120091,"-",3707.88
"ENSG00000171824","EXOSC10","chr1",11159938,"-",5037.52
"ENSG00000171819","ANGPTL7","chr1",11249345,"+",205.76
"ENSG00000198793","MTOR","chr1",11322608,"-",3370.76
"ENSG00000120942","UBIAD1","chr1",11333254,"+",4210
"ENSG00000204624","PTCHD2","chr1",11539294,"+",1894.72
"ENSG00000132879","FBXO44","chr1",11714431,"+",2007.28
"ENSG00000116661","FBXO2","chr1",11714888,"-",1977.64
"ENSG00000116663","FBXO6","chr1",11724149,"+",2154.08
"ENSG00000116670","MAD2L2","chr1",11751678,"-",3899.56
"ENSG00000162490","DRAXIN","chr1",11751780,"+",3889.12
"ENSG00000177674","AGTRAP","chr1",11796141,"+",6079.8
"ENSG00000011021","CLCN6","chr1",11866152,"+",3262.04
"ENSG00000177000","MTHFR","chr1",11866160,"-",3215.2
"ENSG00000175206","NPPA","chr1",11907840,"-",170.72
"ENSG00000120937","NPPB","chr1",11918992,"-",279.6
"ENSG00000116685","KIAA2013","chr1",11986485,"-",2700.76
"ENSG00000083444","PLOD1","chr1",11994723,"+",4712.68
"ENSG00000116688","MFN2","chr1",12040237,"+",3003.52
"ENSG00000116691","MIIP","chr1",12079298,"+",2241.52
"ENSG00000120949","TNFRSF8","chr1",12123433,"+",4201.8
"ENSG00000028137","TNFRSF1B","chr1",12227059,"+",2497.4
"ENSG00000204518","AADACL4","chr1",12704565,"+",433.4
"ENSG00000188984","AADACL3","chr1",12776117,"+",440.64
"ENSG00000116726","PRAMEF12","chr1",12834983,"+",406.16
"ENSG00000116721","PRAMEF1","chr1",12851545,"+",365.08
"ENSG00000179172","HNRNPCL1","chr1",12908578,"-",799.68
"ENSG00000120952","PRAMEF2","chr1",12916940,"+",353.52
"ENSG00000243073","PRAMEF4","chr1",12946025,"-",276.4
"ENSG00000187545","PRAMEF10","chr1",12958094,"-",209.52
"ENSG00000232423","PRAMEF6","chr1",13007406,"-",184.76
"ENSG00000182330","PRAMEF8","chr1",13390765,"-",171.68
"ENSG00000204501","PRAMEF9","chr1",13421175,"+",216
"ENSG00000277853","PRAMEF19","chr1",13698405,"-",163.44
"ENSG00000204479","PRAMEF17","chr1",13716087,"+",104
"ENSG00000204478","PRAMEF20","chr1",13736906,"+",150.72
"ENSG00000162494","LRRC38","chr1",13840242,"-",196.52
"ENSG00000162493","PDPN","chr1",13910251,"+",285.84
"ENSG00000116731","PRDM2","chr1",14026734,"+",1263.76
"ENSG00000189337","KAZN","chr1",14925212,"+",705.8
"ENSG00000171729","TMEM51","chr1",15479027,"+",1932.24
"ENSG00000142621","FHAD1","chr1",15573767,"+",475.76
"ENSG00000142634","EFHD2","chr1",15736390,"+",2395.96
"ENSG00000162438","CTRC","chr1",15764937,"+",628.68
"ENSG00000142615","CELA2A","chr1",15783222,"+",893.96
"ENSG00000215704","CELA2B","chr1",15802595,"+",897.84
"ENSG00000132906","CASP9","chr1",15851285,"-",5724.64
"ENSG00000116138","DNAJC16","chr1",15853351,"+",5516.92
"ENSG00000116771","AGMAT","chr1",15911605,"-",789.44
"ENSG00000197312","DDI2","chr1",15943952,"+",4401.24
"ENSG00000215695","RSC1A1","chr1",15986363,"+",218.68
"ENSG00000116786","PLEKHM2","chr1",16010826,"+",2252.96
"ENSG00000162461","SLC25A34","chr1",16062808,"+",240
"ENSG00000162460","TMEM82","chr1",16068986,"+",1215.24
"ENSG00000162458","FBLIM1","chr1",16083153,"+",456.32
"ENSG00000065526","SPEN","chr1",16174358,"+",3388.44
"ENSG00000116809","ZBTB17","chr1",16302627,"-",6024.12
"ENSG00000183888","C1orf64","chr1",16330730,"+",985
"ENSG00000173641","HSPB7","chr1",16346089,"-",1759.92
"ENSG00000186510","CLCNKA","chr1",16348485,"+",935.04
"ENSG00000184908","CLCNKB","chr1",16355620,"+",1155
"ENSG00000185519","FAM131C","chr1",16400127,"-",1756.76
"ENSG00000142627","EPHA2","chr1",16482582,"-",842.84
"ENSG00000142632","ARHGEF19","chr1",16539104,"-",1114.28
"ENSG00000132881","RSG1","chr1",16563659,"-",5149.52
"ENSG00000037637","FBXO42","chr1",16678948,"-",6989.44
"ENSG00000055070","SZRD1","chr1",16693524,"+",5299.04
"ENSG00000187144","SPATA21","chr1",16763919,"-",1212.84
"ENSG00000157191","NECAP2","chr1",16767166,"+",5696.4
"ENSG00000219481","NBPF1","chr1",16940100,"-",18460.16
"ENSG00000058453","CROCC","chr1",17248444,"+",911.32
"ENSG00000117122","MFAP2","chr1",17308081,"-",698
"ENSG00000159363","ATP13A2","chr1",17338423,"-",3732.28
"ENSG00000117118","SDHB","chr1",17380665,"-",3121.2
"ENSG00000117115","PADI2","chr1",17445948,"-",638.2
"ENSG00000142623","PADI1","chr1",17531620,"+",464.72
"ENSG00000142619","PADI3","chr1",17575592,"+",720.72
"ENSG00000159339","PADI4","chr1",17634689,"+",1404.12
"ENSG00000179051","RCC2","chr1",17766250,"-",4868.64
"ENSG00000074964","ARHGEF10L","chr1",17866329,"+",268.16
"ENSG00000117148","ACTL8","chr1",18081807,"+",576.32
"ENSG00000117154","IGSF21","chr1",18434239,"+",150.84
"ENSG00000179023","KLHDC7A","chr1",18807423,"+",483.56
"ENSG00000009709","PAX7","chr1",18957499,"+",136
"ENSG00000179002","TAS1R2","chr1",19186155,"-",294.56
"ENSG00000159423","ALDH4A1","chr1",19229293,"-",5823.64
"ENSG00000169991","IFFO2","chr1",19282826,"-",2608.56
"ENSG00000127481","UBR4","chr1",19536746,"-",3512.88
"ENSG00000127463","EMC1","chr1",19578053,"-",4493.8
"ENSG00000053372","MRTO4","chr1",19578074,"+",4531.4
"ENSG00000211454","AKR7L","chr1",19600568,"-",300.28
"ENSG00000162482","AKR7A3","chr1",19615280,"-",237.52
"ENSG00000053371","AKR7A2","chr1",19638640,"-",3570
"ENSG00000040487","PQLC2","chr1",19638739,"+",3587.36
"ENSG00000077549","CAPZB","chr1",19812066,"-",2901.04
"ENSG00000173436","MINOS1","chr1",19923470,"+",5780.52
"ENSG00000158747","NBL1","chr1",19969722,"+",938.8
"ENSG00000158748","HTR6","chr1",19991779,"+",529.32
"ENSG00000162542","TMCO4","chr1",20126758,"-",2166.24
"ENSG00000178828","RNF186","chr1",20141771,"-",302.08
"ENSG00000169914","OTUD3","chr1",20208887,"+",4009.16
"ENSG00000188784","PLA2G2E","chr1",20250110,"-",366.92
"ENSG00000188257","PLA2G2A","chr1",20306932,"-",620.76
"ENSG00000127472","PLA2G5","chr1",20396700,"+",278.32
"ENSG00000117215","PLA2G2D","chr1",20446059,"-",393.68
"ENSG00000158786","PLA2G2F","chr1",20465822,"+",372.08
"ENSG00000187980","PLA2G2C","chr1",20501687,"-",2998.44
"ENSG00000162543","UBXN10","chr1",20512577,"+",5439.8
"ENSG00000158816","VWA5B1","chr1",20617411,"+",319.4
"ENSG00000162545","CAMK2N1","chr1",20812728,"-",1498.68
"ENSG00000090432","MUL1","chr1",20834674,"-",4750.44
"ENSG00000183114","FAM43B","chr1",20878931,"+",804.08
"ENSG00000158825","CDA","chr1",20915443,"+",680.64
"ENSG00000158828","PINK1","chr1",20959947,"+",6228.96
"ENSG00000244038","DDOST","chr1",20988037,"-",4143.24
