ensemblID,OGS,chromosome,TSSLocation,strand,sumMethylationFractionBySite,meanMethylationFractionBySite,meanMethylationFractionByRegion,sumOfScaledMethylatedReadsByRegion
ENSG00000186092,OR4F5,chr1,69090,+,0,NA,NA,0
ENSG00000278566,OR4F29,chr1,367658,+,0,NA,NA,0
ENSG00000273547,OR4F16,chr1,622034,-,0,NA,NA,0
ENSG00000187634,SAMD11,chr1,861120,+,177,1.475,0.015896651,249.9324108
ENSG00000188976,NOC2L,chr1,894679,-,1054,7.528571429,0.039695177,362.9685856
ENSG00000187961,KLHL17,chr1,895966,+,1072,7.444444444,0.039725029,359.4216605
ENSG00000187583,PLEKHN1,chr1,901876,+,1204,15.05,0.120487665,549.4445797
ENSG00000187642,C1orf170,chr1,917473,-,1650,91.66666667,0.905111111,1017.046925
ENSG00000188290,HES4,chr1,935552,-,1329,4.832727273,0.037691338,699.2110478
ENSG00000187608,ISG15,chr1,948846,+,762,50.8,0.758029557,225.8451568
ENSG00000188157,AGRN,chr1,955502,+,442,3.426356589,0.014516369,106.9808694
ENSG00000237330,RNF223,chr1,1009687,-,4327,83.21153846,0.805215947,650.1263475
ENSG00000131591,C1orf159,chr1,1027554,-,1529,95.5625,0.921738241,540.3875559
ENSG00000162571,TTLL10,chr1,1109285,+,1699,45.91891892,0.34208547,522.7688059
ENSG00000186891,TNFRSF18,chr1,1142089,-,2207,44.14,0.296855059,887.7302747
ENSG00000186827,TNFRSF4,chr1,1149548,-,2893,76.13157895,0.873650794,334.4410131
ENSG00000078808,SDF4,chr1,1167447,-,5173,39.79230769,0.414089078,4810.647632
ENSG00000176022,B3GALT6,chr1,1167628,+,5173,39.79230769,0.414089078,4641.596407
ENSG00000184163,FAM132A,chr1,1182102,-,2016,28.3943662,0.220019411,785.6916966
ENSG00000160087,UBE2J2,chr1,1209234,-,640,6.153846154,0.025030225,198.4302901
ENSG00000162572,SCNN1D,chr1,1215815,+,2208,88.32,0.871825843,759.2956858
ENSG00000131584,ACAP3,chr1,1243269,-,656,3.231527094,0.027738858,475.1850822
ENSG00000169972,PUSL1,chr1,1243993,+,814,3.990196078,0.027181248,423.5788971
ENSG00000127054,CPSF3L,chr1,1260067,-,1385,19.50704225,0.025939394,133.2664093
ENSG00000224051,GLTPD1,chr1,1260142,+,1385,19.78571429,0.025945442,133.408682
