ensemblID,OGS,chromosome,TSSLocation,strand,sumMethylationFractionBySite,meanMethylationFractionBySite,meanMethylationFractionByRegion,sumOfScaledMethylatedReadsByRegion
ENSG00000186092,OR4F5,chr1,69090,+,0,NA,NA,0
ENSG00000278566,OR4F29,chr1,367658,+,0,NA,NA,0
ENSG00000273547,OR4F16,chr1,622034,-,0,NA,NA,0
ENSG00000187634,SAMD11,chr1,861120,+,404,2.970588235,0.01676646,190.2114005
ENSG00000188976,NOC2L,chr1,894679,-,2334,16.67142857,0.15786074,1019.411863
ENSG00000187961,KLHL17,chr1,895966,+,2334,16.20833333,0.15753249,1062.962622
ENSG00000187583,PLEKHN1,chr1,901876,+,1045,14.92857143,0.221065766,1138.503394
ENSG00000187642,C1orf170,chr1,917473,-,240,10,0.085801653,68.08438877
ENSG00000188290,HES4,chr1,935552,-,3492,12.93333333,0.17504013,2745.937788
ENSG00000187608,ISG15,chr1,948846,+,1392,69.6,0.908571429,1300.937548
ENSG00000188157,AGRN,chr1,955502,+,253,2.144067797,0.019973873,98.04449845
ENSG00000237330,RNF223,chr1,1009687,-,1657,30.12727273,0.318158996,406.1222558
ENSG00000131591,C1orf159,chr1,1027554,-,2317,89.11538462,0.957250909,1530.403808
ENSG00000162571,TTLL10,chr1,1109285,+,2181,51.92857143,0.602446864,1301.784818
ENSG00000186891,TNFRSF18,chr1,1142089,-,2802,49.15789474,0.468381375,1172.90033
ENSG00000186827,TNFRSF4,chr1,1149548,-,2208,59.67567568,0.624065336,830.3678267
ENSG00000078808,SDF4,chr1,1167447,-,6368,42.17218543,0.741226018,13151.1133
ENSG00000176022,B3GALT6,chr1,1167628,+,6168,41.39597315,0.741152172,12679.41117
ENSG00000184163,FAM132A,chr1,1182102,-,6782,83.72839506,0.828170619,2984.567579
ENSG00000160087,UBE2J2,chr1,1209234,-,592,5.431192661,0.021956812,108.0962764
ENSG00000162572,SCNN1D,chr1,1215815,+,1056,40.61538462,0.446847636,597.0847083
ENSG00000131584,ACAP3,chr1,1243269,-,329,1.612745098,0.019284802,213.3714103
ENSG00000169972,PUSL1,chr1,1243993,+,522,2.571428571,0.019403546,205.2753489
ENSG00000127054,CPSF3L,chr1,1260067,-,1154,17.48484848,0.035192665,155.6131255
ENSG00000224051,GLTPD1,chr1,1260142,+,1154,17.48484848,0.035192665,155.5161788
