"Gene","name","chrom","locus","strand","hm.scores","p.vals","cor.p","sig"
"ENSG00000186092","OR4F5","chr1",69090,"+",1409.48,0.068063727745089,0.113414274273841,FALSE
"ENSG00000278566","OR4F29","chr1",367658,"+",617.24,0.482178071287715,0.517616227585562,FALSE
"ENSG00000273547","OR4F16","chr1",622034,"-",597.56,0.494642021431914,0.528185053044096,FALSE
"ENSG00000187634","SAMD11","chr1",861120,"+",949.84,0.276034895860417,0.332601853644136,FALSE
"ENSG00000188976","NOC2L","chr1",894679,"-",809.44,0.363578545685817,0.411717497771402,FALSE
"ENSG00000187961","KLHL17","chr1",895966,"+",861.36,0.331354674581302,0.383010158622598,FALSE
"ENSG00000187583","PLEKHN1","chr1",901876,"+",965.72,0.266134935460258,0.323561681439018,FALSE
"ENSG00000187642","C1orf170","chr1",917473,"-",541.6,0.533085867656529,0.562576390964277,FALSE
"ENSG00000188290","HES4","chr1",935552,"-",1130.6,0.171367314530742,0.229482630596147,FALSE
"ENSG00000187608","ISG15","chr1",948846,"+",1363.36,0.0797956808172767,0.127848292248388,FALSE
"ENSG00000188157","AGRN","chr1",955502,"+",412.96,0.62564149743401,0.643640926152669,FALSE
"ENSG00000237330","RNF223","chr1",1009687,"-",526.24,0.544041823832705,0.57258998473387,FALSE
"ENSG00000131591","C1orf159","chr1",1027554,"-",410.48,0.627357490570038,0.645036617974841,FALSE
"ENSG00000162571","TTLL10","chr1",1109285,"+",1041.48,0.221079115683537,0.280366740066067,FALSE
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",1094.04,0.191003235987056,0.25003022461295,FALSE
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",383.88,0.644921420314319,0.660372164512141,FALSE
"ENSG00000078808","SDF4","chr1",1167447,"-",1231.44,0.124919500321999,0.179869250844646,FALSE
"ENSG00000176022","B3GALT6","chr1",1167628,"+",1216.72,0.130915476338095,0.186468596028337,FALSE
"ENSG00000184163","FAM132A","chr1",1182102,"-",608,0.488030047879808,0.522585742632453,FALSE
"ENSG00000160087","UBE2J2","chr1",1209234,"-",1113.2,0.180843276626893,0.239545281783454,FALSE
"ENSG00000162572","SCNN1D","chr1",1215815,"+",547.84,0.528665885336459,0.558601524967613,FALSE
"ENSG00000131584","ACAP3","chr1",1243269,"-",1066.52,0.206607173571306,0.266226787221198,FALSE
"ENSG00000169972","PUSL1","chr1",1243993,"+",1044.36,0.219239123043508,0.278564658674548,FALSE
"ENSG00000127054","CPSF3L","chr1",1260067,"-",705.2,0.427386290454838,0.46800532544103,FALSE
"ENSG00000224051","GLTPD1","chr1",1260142,"+",713.04,0.422626309494762,0.4638965929889,FALSE
"ENSG00000169962","TAS1R3","chr1",1266725,"+",457.84,0.593369626521494,0.616161171151,FALSE
"ENSG00000107404","DVL1","chr1",1284492,"-",528,0.542825828696685,0.571511228793794,FALSE
"ENSG00000162576","MXRA8","chr1",1297157,"-",1251.12,0.117151531393874,0.171085839574637,FALSE
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",917.88,0.296046815812737,0.350989788696548,FALSE
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",980.24,0.257206971172115,0.314882516504852,FALSE
"ENSG00000242485","MRPL20","chr1",1342693,"-",824,0.354586581653673,0.404189975061283,FALSE
"ENSG00000235098","ANKRD65","chr1",1356824,"-",1032.08,0.226431094275623,0.285359770664259,FALSE
"ENSG00000205116","TMEM88B","chr1",1361507,"+",559.48,0.520537917848329,0.551213789717753,FALSE
