"Gene","name","chrom","locus","strand","hm.scores"
"ENSG00000186092","OR4F5","chr1",69090,"+",1117.08
"ENSG00000278566","OR4F29","chr1",367658,"+",708.44
"ENSG00000273547","OR4F16","chr1",622034,"-",740.36
"ENSG00000187634","SAMD11","chr1",861120,"+",760.12
"ENSG00000188976","NOC2L","chr1",894679,"-",5439.6
"ENSG00000187961","KLHL17","chr1",895966,"+",4893.16
"ENSG00000187583","PLEKHN1","chr1",901876,"+",1784.64
"ENSG00000187642","C1orf170","chr1",917473,"-",283.36
"ENSG00000188290","HES4","chr1",935552,"-",4219.16
"ENSG00000187608","ISG15","chr1",948846,"+",4372.52
"ENSG00000188157","AGRN","chr1",955502,"+",2141.04
"ENSG00000237330","RNF223","chr1",1009687,"-",256
"ENSG00000131591","C1orf159","chr1",1027554,"-",256
"ENSG00000162571","TTLL10","chr1",1109285,"+",223.16
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",385.32
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",105.8
"ENSG00000078808","SDF4","chr1",1167447,"-",6259.56
"ENSG00000176022","B3GALT6","chr1",1167628,"+",6229.32
"ENSG00000184163","FAM132A","chr1",1182102,"-",80.56
"ENSG00000160087","UBE2J2","chr1",1209234,"-",5539.76
"ENSG00000162572","SCNN1D","chr1",1215815,"+",203.76
"ENSG00000131584","ACAP3","chr1",1243269,"-",6261.2
"ENSG00000169972","PUSL1","chr1",1243993,"+",5485.16
"ENSG00000127054","CPSF3L","chr1",1260067,"-",3839
"ENSG00000224051","GLTPD1","chr1",1260142,"+",3864.28
"ENSG00000169962","TAS1R3","chr1",1266725,"+",192.08
"ENSG00000107404","DVL1","chr1",1284492,"-",4846.64
"ENSG00000162576","MXRA8","chr1",1297157,"-",247.04
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",6470.32
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",10004.32
"ENSG00000242485","MRPL20","chr1",1342693,"-",7763.16
"ENSG00000235098","ANKRD65","chr1",1356824,"-",372.72
"ENSG00000205116","TMEM88B","chr1",1361507,"+",211.4
"ENSG00000215915","ATAD3C","chr1",1385068,"+",370.68
"ENSG00000160072","ATAD3B","chr1",1407163,"+",7671.04
"ENSG00000197785","ATAD3A","chr1",1447522,"+",7313.56
"ENSG00000205090","TMEM240","chr1",1475740,"-",186.12
"ENSG00000160075","SSU72","chr1",1510262,"-",9445
"ENSG00000228594","C1orf233","chr1",1535476,"-",925.16
"ENSG00000197530","MIB2","chr1",1551689,"+",5719.2
"ENSG00000189409","MMP23B","chr1",1567559,"+",160
"ENSG00000248333","CDK11B","chr1",1655775,"-",7760.48
"ENSG00000008128","CDK11A","chr1",1655791,"-",7760.48
"ENSG00000215790","SLC35E2","chr1",1677438,"-",7046.56
"ENSG00000008130","NADK","chr1",1711508,"-",3820.84
"ENSG00000078369","GNB1","chr1",1822526,"-",4572.32
"ENSG00000169885","CALML6","chr1",1846265,"+",156.16
"ENSG00000178821","TMEM52","chr1",1850740,"-",2281.12
"ENSG00000187730","GABRD","chr1",1950767,"+",203.72
"ENSG00000067606","PRKCZ","chr1",1981908,"+",232
"ENSG00000162585","C1orf86","chr1",2126214,"-",3846.56
"ENSG00000157933","SKI","chr1",2160133,"+",5195.8
"ENSG00000116151","MORN1","chr1",2322993,"-",5659.2
"ENSG00000157916","RER1","chr1",2323213,"+",5694.44
"ENSG00000157911","PEX10","chr1",2344010,"-",5043.04
"ENSG00000149527","PLCH2","chr1",2407753,"+",135.72
"ENSG00000157881","PANK4","chr1",2458035,"-",3721.52
"ENSG00000197921","HES5","chr1",2461684,"-",428.44
"ENSG00000157873","TNFRSF14","chr1",2487804,"+",915.4
"ENSG00000157870","FAM213B","chr1",2517898,"+",3560
"ENSG00000215912","TTC34","chr1",2706230,"-",111.96
"ENSG00000169717","ACTRT2","chr1",2938045,"+",32.04
"ENSG00000130762","ARHGEF16","chr1",3371146,"+",625.08
"ENSG00000162591","MEGF6","chr1",3528059,"-",200
"ENSG00000158109","TPRG1L","chr1",3541555,"+",3251.08
"ENSG00000116213","WRAP73","chr1",3566671,"-",3155.04
"ENSG00000078900","TP73","chr1",3569128,"+",1356.2
"ENSG00000162592","CCDC27","chr1",3668964,"+",534.04
"ENSG00000235169","SMIM1","chr1",3689333,"+",7304.72
"ENSG00000130764","LRRC47","chr1",3713068,"-",6712.84
"ENSG00000116198","CEP104","chr1",3773797,"-",5822.08
"ENSG00000169598","DFFB","chr1",3773844,"+",5841.8
"ENSG00000196581","AJAP1","chr1",4715104,"+",51.28
"ENSG00000069424","KCNAB2","chr1",6052357,"+",5527.48
"ENSG00000116254","CHD5","chr1",6240194,"-",135.56
"ENSG00000116251","RPL22","chr1",6259679,"-",10091.56
"ENSG00000158286","RNF207","chr1",6266188,"+",4342.4
"ENSG00000116237","ICMT","chr1",6296044,"-",5365.76
"ENSG00000173673","HES3","chr1",6304251,"+",687.8
"ENSG00000158292","GPR153","chr1",6321035,"-",1431.2
"ENSG00000097021","ACOT7","chr1",6453826,"-",4923.2
"ENSG00000069812","HES2","chr1",6479979,"-",963.44
"ENSG00000187017","ESPN","chr1",6484847,"+",1688.16
"ENSG00000215788","TNFRSF25","chr1",6526255,"-",146.4
"ENSG00000171680","PLEKHG5","chr1",6580121,"-",347.6
"ENSG00000162408","NOL9","chr1",6614658,"-",5901.2
"ENSG00000173662","TAS1R1","chr1",6615337,"+",5251.44
"ENSG00000204859","ZBTB48","chr1",6640055,"+",4740
"ENSG00000162413","KLHL21","chr1",6662929,"-",9798.75999999999
"ENSG00000116273","PHF13","chr1",6673755,"+",5787.04
"ENSG00000041988","THAP3","chr1",6684924,"+",3292.64
"ENSG00000007923","DNAJC11","chr1",6761966,"-",6133.24
"ENSG00000171735","CAMTA1","chr1",6845383,"+",5271.8
"ENSG00000049245","VAMP3","chr1",7831328,"+",6353.2
"ENSG00000049246","PER3","chr1",7844379,"+",1319.44
"ENSG00000049247","UTS2","chr1",7973294,"-",539.64
"ENSG00000049249","TNFRSF9","chr1",8003225,"-",726.8
"ENSG00000116288","PARK7","chr1",8021713,"+",8040
"ENSG00000116285","ERRFI1","chr1",8086393,"-",1251.76
"ENSG00000162426","SLC45A1","chr1",8384389,"+",196.8
