"Gene","name","chrom","locus","strand","hm.scores","p.vals","cor.p","sig"
"ENSG00000186092","OR4F5","chr1",69090,"+",356.24,0.370070519717921,0.438635582664668,FALSE
"ENSG00000278566","OR4F29","chr1",367658,"+",427.2,0.218047127811489,0.280927581378313,FALSE
"ENSG00000273547","OR4F16","chr1",622034,"-",409.36,0.247415010339959,0.313212048703286,FALSE
"ENSG00000187634","SAMD11","chr1",861120,"+",515.16,0.13562745749017,0.185228886899425,FALSE
"ENSG00000188976","NOC2L","chr1",894679,"-",5202.2,0.0091559633761465,0.0234563577230207,TRUE
"ENSG00000187961","KLHL17","chr1",895966,"+",4389.64,0.0115279538881844,0.0259151356984958,TRUE
"ENSG00000187583","PLEKHN1","chr1",901876,"+",1364.56,0.0404958380166479,0.066157698237791,TRUE
"ENSG00000187642","C1orf170","chr1",917473,"-",235.04,0.665889336442654,0.692548057849484,FALSE
"ENSG00000188290","HES4","chr1",935552,"-",2285.84,0.0240239039043844,0.0432811219377363,TRUE
"ENSG00000187608","ISG15","chr1",948846,"+",7732.32,0.00426398294406822,0.0204016594512967,TRUE
"ENSG00000188157","AGRN","chr1",955502,"+",2575.24,0.0212359150563398,0.0392591051674928,TRUE
"ENSG00000237330","RNF223","chr1",1009687,"-",134.4,0.728521085915656,0.732315041621231,FALSE
"ENSG00000131591","C1orf159","chr1",1027554,"-",274.36,0.595361618553526,0.639080094160996,FALSE
"ENSG00000162571","TTLL10","chr1",1109285,"+",508.24,0.13935944256223,0.189661967659938,FALSE
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",1396.64,0.0396718413126348,0.0650721147115412,TRUE
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",1083.12,0.0505077979688081,0.0793719234297535,TRUE
"ENSG00000078808","SDF4","chr1",1167447,"-",7116.24,0.00517997928008288,0.0204094836168494,TRUE
"ENSG00000176022","B3GALT6","chr1",1167628,"+",6741.32,0.00573997704009184,0.0206173317283267,TRUE
"ENSG00000184163","FAM132A","chr1",1182102,"-",263.12,0.618845524617902,0.656942401680423,FALSE
"ENSG00000160087","UBE2J2","chr1",1209234,"-",6247.48,0.00672397310410758,0.0213183096491874,TRUE
"ENSG00000162572","SCNN1D","chr1",1215815,"+",215.84,0.688189247243011,0.707028649738211,FALSE
"ENSG00000131584","ACAP3","chr1",1243269,"-",6978.92,0.0053559785760857,0.020511043794751,TRUE
"ENSG00000169972","PUSL1","chr1",1243993,"+",5801.8,0.00769196923212307,0.022111130505542,TRUE
"ENSG00000127054","CPSF3L","chr1",1260067,"-",5014.48,0.00970796116815533,0.0241290537385709,TRUE
"ENSG00000224051","GLTPD1","chr1",1260142,"+",5066.52,0.00956796172815309,0.0239846851891208,TRUE
"ENSG00000169962","TAS1R3","chr1",1266725,"+",388.8,0.288914844340623,0.356913520800944,FALSE
"ENSG00000107404","DVL1","chr1",1284492,"-",2572.04,0.0212719149123404,0.0392973288660514,TRUE
"ENSG00000162576","MXRA8","chr1",1297157,"-",209.92,0.693545225819097,0.710687883815424,FALSE
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",5575.04,0.00821196715213139,0.0225788159921457,TRUE
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",11043.68,0.0012439950240199,0.0199390727316705,TRUE
"ENSG00000242485","MRPL20","chr1",1342693,"-",7178.56,0.00511597953608186,0.0204094836168494,TRUE
"ENSG00000235098","ANKRD65","chr1",1356824,"-",684.88,0.0852756588973644,0.123952212568325,FALSE
"ENSG00000205116","TMEM88B","chr1",1361507,"+",331,0.442114231543074,0.507701674157479,FALSE
"ENSG00000215915","ATAD3C","chr1",1385068,"+",201.56,0.699881200475198,0.71477313703876,FALSE
"ENSG00000160072","ATAD3B","chr1",1407163,"+",6830.96,0.00557597769608922,0.0205659288314151,TRUE
