"Gene","name","chrom","locus","strand","hm.scores","p.vals","cor.p","sig"
"ENSG00000186092","OR4F5","chr1",69090,"+",181.4,0.0884956460174159,0.113219680825218,FALSE
"ENSG00000278566","OR4F29","chr1",367658,"+",89.6,0.520849916600334,0.547956212441692,FALSE
"ENSG00000273547","OR4F16","chr1",622034,"-",102.4,0.431690273238907,0.466626849817042,FALSE
"ENSG00000187634","SAMD11","chr1",861120,"+",656.48,0.0218399126403494,0.0316806684288414,TRUE
"ENSG00000188976","NOC2L","chr1",894679,"-",2569.12,0.00506797972808109,0.0169920254200194,TRUE
"ENSG00000187961","KLHL17","chr1",895966,"+",2558.28,0.00512397950408198,0.0170777118599658,TRUE
"ENSG00000187583","PLEKHN1","chr1",901876,"+",589.52,0.023251906992372,0.0332585643362606,TRUE
"ENSG00000187642","C1orf170","chr1",917473,"-",59.88,0.664617341530634,0.674423171159774,FALSE
"ENSG00000188290","HES4","chr1",935552,"-",1157.92,0.0151559393762425,0.0249691875681836,TRUE
"ENSG00000187608","ISG15","chr1",948846,"+",1127.08,0.0154479382082472,0.025197488529817,TRUE
"ENSG00000188157","AGRN","chr1",955502,"+",1004.8,0.0168679325282699,0.0265075949238355,TRUE
"ENSG00000237330","RNF223","chr1",1009687,"-",134.04,0.231015075939696,0.271007164304894,FALSE
"ENSG00000131591","C1orf159","chr1",1027554,"-",100.84,0.439614241543034,0.47387949618321,FALSE
"ENSG00000162571","TTLL10","chr1",1109285,"+",346.56,0.0319678721285115,0.0438794366553685,TRUE
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",497.92,0.0254558981764073,0.0358286677250029,TRUE
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",129.12,0.250390998436006,0.29090471897772,FALSE
"ENSG00000078808","SDF4","chr1",1167447,"-",2186.72,0.00703597185611258,0.0184977637359515,TRUE
"ENSG00000176022","B3GALT6","chr1",1167628,"+",2205.32,0.00693197227211091,0.0184291944892611,TRUE
"ENSG00000184163","FAM132A","chr1",1182102,"-",224,0.0538997844008624,0.0712118223139678,TRUE
"ENSG00000160087","UBE2J2","chr1",1209234,"-",2294.08,0.00640797436810253,0.0179091364963114,TRUE
