"Gene","name","chrom","locus","strand","hm.scores"
"ENSG00000186092","OR4F5","chr1",69090,"+",225.36
"ENSG00000278566","OR4F29","chr1",367658,"+",120.48
"ENSG00000273547","OR4F16","chr1",622034,"-",159.8
"ENSG00000187634","SAMD11","chr1",861120,"+",12454.8
"ENSG00000188976","NOC2L","chr1",894679,"-",1190
"ENSG00000187961","KLHL17","chr1",895966,"+",1697
"ENSG00000187583","PLEKHN1","chr1",901876,"+",2544.12
"ENSG00000187642","C1orf170","chr1",917473,"-",1014.92
"ENSG00000188290","HES4","chr1",935552,"-",7112
"ENSG00000187608","ISG15","chr1",948846,"+",470.28
"ENSG00000188157","AGRN","chr1",955502,"+",308
"ENSG00000237330","RNF223","chr1",1009687,"-",580
"ENSG00000131591","C1orf159","chr1",1027554,"-",240.52
"ENSG00000162571","TTLL10","chr1",1109285,"+",584.32
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",1213
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",93.68
"ENSG00000078808","SDF4","chr1",1167447,"-",387.2
"ENSG00000176022","B3GALT6","chr1",1167628,"+",412.28
"ENSG00000184163","FAM132A","chr1",1182102,"-",1223.32
"ENSG00000160087","UBE2J2","chr1",1209234,"-",439.84
"ENSG00000162572","SCNN1D","chr1",1215815,"+",128.4
"ENSG00000131584","ACAP3","chr1",1243269,"-",389
"ENSG00000169972","PUSL1","chr1",1243993,"+",380.2
"ENSG00000127054","CPSF3L","chr1",1260067,"-",120
"ENSG00000224051","GLTPD1","chr1",1260142,"+",120
"ENSG00000169962","TAS1R3","chr1",1266725,"+",274.12
"ENSG00000107404","DVL1","chr1",1284492,"-",195.96
"ENSG00000162576","MXRA8","chr1",1297157,"-",425.24
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",209.24
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",216.44
"ENSG00000242485","MRPL20","chr1",1342693,"-",156
"ENSG00000235098","ANKRD65","chr1",1356824,"-",486.4
"ENSG00000205116","TMEM88B","chr1",1361507,"+",195.88
"ENSG00000215915","ATAD3C","chr1",1385068,"+",150.72
"ENSG00000160072","ATAD3B","chr1",1407163,"+",113.08
"ENSG00000197785","ATAD3A","chr1",1447522,"+",181.52
"ENSG00000205090","TMEM240","chr1",1475740,"-",161.64
