"gene.GeneID","Ensembl.Gene.ID","blah","gene.Chr","gene.Start","gene.End","gene.Strand","gene.Length","sample.group","sample.lib.size","sample.norm.factors","counts","rpkm"
1,"ENSG00000121410",1,510,19667,19667,8,1766,1,19420249,1,27,0.787260154
2,"ENSG00000175899",2,202,24714,24710,36,4653,1,19420249,1,0,0
9,"ENSG00000171428",3,990,8072,8070,95,3000,1,19420249,1,96,1.64776466
10,"ENSG00000156006",4,985,8141,8139,90,1317,1,19420249,1,0,0
12,"ENSG00000196136",5,270,25047,25043,93,1590,1,19420249,1,0,0
12,"ENSG00000273259",5,270,25047,25043,93,1590,1,19420249,1,0,0
13,"ENSG00000114771",6,735,6066,6063,93,1606,1,19420249,1,0,0
14,"ENSG00000127837",7,561,9718,9716,11,1793,1,19420249,1,2583,74.18042593
15,"ENSG00000129673",8,417,22377,22375,96,2093,1,19420249,1,0,0
16,"ENSG00000090861",9,382,21526,21522,21,3344,1,19420249,1,10004,154.0467784
16,"LRG_359",9,382,21526,21522,21,3344,1,19420249,1,10004,154.0467784
18,"ENSG00000183044",10,379,24083,24081,106,5930,1,19420249,1,11,0.095517555
19,"ENSG00000165029",11,1083,1245,1243,50,10412,1,19420249,1,1,0.00494551
20,"ENSG00000107331",12,1083,4856,4852,50,8360,1,19420249,1,869,5.352525007
21,"ENSG00000167972",13,394,10422,10424,33,6623,1,19420249,1,937,7.285008148
22,"ENSG00000131269",14,1106,22329,22326,16,2387,1,19420249,1,812,17.51655981
23,"ENSG00000232169",15,904,12457,12453,113,3464,1,19420249,1,10163,151.073833
23,"ENSG00000236149",15,904,12457,12453,113,3464,1,19420249,1,10163,151.073833
23,"ENSG00000206490",15,904,12457,12453,113,3464,1,19420249,1,10163,151.073833
23,"ENSG00000236342",15,904,12457,12453,113,3464,1,19420249,1,10163,151.073833
23,"ENSG00000231129",15,904,12457,12453,113,3464,1,19420249,1,10163,151.073833
23,"ENSG00000225989",15,904,12457,12453,113,3464,1,19420249,1,10163,151.073833
23,"ENSG00000204574",15,904,12457,12453,113,3464,1,19420249,1,10163,151.073833
24,"ENSG00000198691",16,49,24969,24965,50,7326,1,19420249,1,1,0.007028753
25,"ENSG00000097007",17,1047,4207,4203,100,5963,1,19420249,1,3798,32.79709343
26,"ENSG00000002726",18,939,5937,5931,93,2428,1,19420249,1,0,0
27,"ENSG00000143322",19,14,7962,7962,14,12649,1,19420249,1,749,3.049094125
28,"ENSG00000175164",20,1042,4496,4492,7,1579,1,19420249,1,315,10.27244039
29,"ENSG00000278741",21,434,24540,24564,25,5925,1,19420249,1,34,0.295485224
29,"ENSG00000159842",21,434,24540,24564,25,5925,1,19420249,1,34,0.295485224
29,"ENSG00000276016",21,434,24540,24564,25,5925,1,19420249,1,34,0.295485224
30,"ENSG00000060971",22,741,14367,14366,11,1987,1,19420249,1,1748,45.29901589
31,"ENSG00000278540",23,458,13710,13708,62,11380,1,19420249,1,7075,32.01322214
31,"ENSG00000275176",23,458,13710,13708,62,11380,1,19420249,1,7075,32.01322214
32,"ENSG00000076555",24,210,1434,1432,140,9250,1,19420249,1,105,0.584511113
33,"ENSG00000115361",25,561,9431,9429,11,2492,1,19420249,1,0,0
34,"ENSG00000117054",26,12,22784,22781,100,2615,1,19420249,1,2660,52.37875235
