"Gene","name","chrom","locus","strand","hm.scores","p.vals","cor.p","sig"
"ENSG00000186092","OR4F5","chr1",69090,"+",346,0.185039259842961,0.236516644363499,FALSE
"ENSG00000278566","OR4F29","chr1",367658,"+",385.92,0.147003411986352,0.194534334579212,FALSE
"ENSG00000273547","OR4F16","chr1",622034,"-",442.56,0.11436754252983,0.157343022375305,FALSE
"ENSG00000187634","SAMD11","chr1",861120,"+",250,0.361498554005784,0.411755110593771,FALSE
"ENSG00000188976","NOC2L","chr1",894679,"-",1908.12,0.0149839400642397,0.0307366824469395,TRUE
"ENSG00000187961","KLHL17","chr1",895966,"+",1976.08,0.0141039435842257,0.0296567753637619,TRUE
"ENSG00000187583","PLEKHN1","chr1",901876,"+",1363.84,0.0238799044803821,0.0422833068975477,TRUE
"ENSG00000187642","C1orf170","chr1",917473,"-",162.92,0.592397630409478,0.616078434823043,FALSE
"ENSG00000188290","HES4","chr1",935552,"-",1927.08,0.0147399410402358,0.0304589250159173,TRUE
"ENSG00000187608","ISG15","chr1",948846,"+",1658.76,0.0182279270882916,0.0348095233150982,TRUE
"ENSG00000188157","AGRN","chr1",955502,"+",685.2,0.059439762240951,0.0904699993206132,TRUE
"ENSG00000237330","RNF223","chr1",1009687,"-",152,0.617849528601886,0.637781304653965,FALSE
"ENSG00000131591","C1orf159","chr1",1027554,"-",252.28,0.356202575189699,0.406729370092888,FALSE
"ENSG00000162571","TTLL10","chr1",1109285,"+",484.96,0.098063607745569,0.138195935204954,FALSE
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",718.88,0.0557277770888916,0.0854931746911194,TRUE
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",1130.64,0.0308358766564934,0.0518048499635669,TRUE
"ENSG00000078808","SDF4","chr1",1167447,"-",1583.2,0.0194799220803117,0.0364216312117149,TRUE
"ENSG00000176022","B3GALT6","chr1",1167628,"+",1575.68,0.0196039215843137,0.0365543462532765,TRUE
"ENSG00000184163","FAM132A","chr1",1182102,"-",158.16,0.604053583785665,0.62587970461971,FALSE
"ENSG00000160087","UBE2J2","chr1",1209234,"-",1952.24,0.0144039423842305,0.0300238237040549,TRUE
"ENSG00000162572","SCNN1D","chr1",1215815,"+",136.08,0.646405414378343,0.662156105541293,FALSE
"ENSG00000131584","ACAP3","chr1",1243269,"-",2675.92,0.00807196771212915,0.0225585934200701,TRUE
"ENSG00000169972","PUSL1","chr1",1243993,"+",2316.48,0.0107319570721717,0.025536765827486,TRUE
"ENSG00000127054","CPSF3L","chr1",1260067,"-",1168,0.0295118819524722,0.050011119883775,TRUE
"ENSG00000224051","GLTPD1","chr1",1260142,"+",1168,0.0295118819524722,0.050011119883775,TRUE
"ENSG00000169962","TAS1R3","chr1",1266725,"+",80,0.715849136603454,0.720355583962495,FALSE
"ENSG00000107404","DVL1","chr1",1284492,"-",1245.52,0.0272038911844353,0.0468653599473894,TRUE
"ENSG00000162576","MXRA8","chr1",1297157,"-",409.6,0.130975476098096,0.176512069927696,FALSE
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",1160.16,0.0298278806884772,0.0504513602411057,TRUE
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",1632.84,0.0186599253602986,0.0353748357949857,TRUE
"ENSG00000242485","MRPL20","chr1",1342693,"-",1054.44,0.0335878656485374,0.0555547568650967,TRUE
"ENSG00000235098","ANKRD65","chr1",1356824,"-",1173.44,0.0292798828804685,0.0496789392804622,TRUE
"ENSG00000205116","TMEM88B","chr1",1361507,"+",408.12,0.131783472866109,0.177361307648786,FALSE
"ENSG00000215915","ATAD3C","chr1",1385068,"+",278.2,0.295822816708733,0.348468756659785,FALSE
"ENSG00000160072","ATAD3B","chr1",1407163,"+",1997,0.0139199443202227,0.0294180504464702,TRUE
"ENSG00000197785","ATAD3A","chr1",1447522,"+",2633.44,0.00832396670413318,0.0227779765710205,TRUE
"ENSG00000205090","TMEM240","chr1",1475740,"-",215.04,0.458062167751329,0.498706572859298,FALSE
"ENSG00000160075","SSU72","chr1",1510262,"-",2295.28,0.0109079563681745,0.0257342098742687,TRUE
"ENSG00000228594","C1orf233","chr1",1535476,"-",643.8,0.0647197411210355,0.097375247075996,TRUE
"ENSG00000197530","MIB2","chr1",1551689,"+",2158.72,0.0122279510881956,0.0274345644274716,TRUE
